name,version,description,author,license,categories,last_publish,days_since_publish,downloads_last_month,github_stars,package_size_kb,gzip_size_kb,npm_url,repository,homepage
debug,4.4.3,Lightweight debugging utility for Node.js and the browser,Josh Junon,MIT,Utility,2025-09-13,72,1711060843,11400,"6,1","2,44",https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,https://github.com/debug-js/debug#readme
chalk,5.6.2,Terminal string styling done right,Unknown,MIT,"Database/ORM, CLI Tool, UI Component",2025-10-29,26,1382458510,22800,"5,58","2,27",https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,https://github.com/chalk/chalk#readme
ms,2.1.3,Tiny millisecond conversion utility,Unknown,MIT,Utility,2025-09-08,77,1240512189,5500,"1,51","0,68",https://www.npmjs.com/package/ms,https://github.com/vercel/ms,https://github.com/vercel/ms#readme
lru-cache,11.2.2,A cache object that deletes the least-recently-used items.,Isaac Z. Schlueter,ISC,General,2025-09-23,62,1050034512,5800,"16,96","5,41",https://www.npmjs.com/package/lru-cache,https://github.com/isaacs/node-lru-cache,https://github.com/isaacs/node-lru-cache#readme
commander,14.0.2,the complete solution for node.js command-line programs,TJ Holowaychuk,MIT,CLI Tool,2025-11-09,15,973781235,1100,"39,48","11,06",https://www.npmjs.com/package/commander,https://github.com/tj/commander.js,https://github.com/tj/commander.js#readme
uuid,13.0.0,RFC9562 UUIDs,Unknown,MIT,UI Component,2025-09-08,77,719394668,15200,"66,7",0,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,https://github.com/uuidjs/uuid#readme
ajv,8.17.1,Another JSON Schema Validator,Evgeny Poberezkin,MIT,Validation,2025-06-09,168,674740604,14500,"111,05","32,02",https://www.npmjs.com/package/ajv,https://github.com/ajv-validator/ajv,https://ajv.js.org
yargs,18.0.0,"yargs the modern, pirate-themed, successor to optimist.",Unknown,MIT,CLI Tool,2025-05-27,181,530115504,11400,"106,65","31,41",https://www.npmjs.com/package/yargs,https://github.com/yargs/yargs,https://yargs.js.org/
ws,8.18.3,"Simple to use, blazing fast and thoroughly tested websocket client and server for Node.js",Einar Otto Stangvik,MIT,"Testing, CLI Tool, Real-time",2025-06-28,149,496166245,22529,"0,28","0,21",https://www.npmjs.com/package/ws,https://github.com/websockets/ws,https://github.com/websockets/ws
mime-types,3.0.2,The ultimate javascript content-type utility.,Unknown,MIT,Utility,2025-11-20,4,448374154,1400,"158,61","23,58",https://www.npmjs.com/package/mime-types,https://github.com/jshttp/mime-types,https://github.com/jshttp/mime-types#readme
rimraf,6.1.2,A deep deletion module for node (like `rm -rf`),Isaac Z. Schlueter,BlueOak-1.0.0,CLI Tool,2025-11-19,5,431929714,5800,260,0,https://www.npmjs.com/package/rimraf,ssh://git@github.com/isaacs/rimraf,https://github.com/isaacs/rimraf#readme
typescript,5.9.3,TypeScript is a language for application scale JavaScript development,Microsoft Corp.,Apache-2.0,Build Tool,2025-11-24,0,422761570,107000,"3437,43","950,15",https://www.npmjs.com/package/typescript,https://github.com/microsoft/TypeScript,https://www.typescriptlang.org/
mkdirp,3.0.1,"Recursively mkdir, like `mkdir -p`",Unknown,MIT,General,2023-11-07,748,419547103,194,"3,82","1,41",https://www.npmjs.com/package/mkdirp,https://github.com/isaacs/node-mkdirp,https://github.com/isaacs/node-mkdirp#readme
chokidar,4.0.3,Minimal and efficient cross-platform file watching library,Paul Miller,MIT,"Database/ORM, UI Component",2024-12-18,341,390561404,11700,"21,46","7,62",https://www.npmjs.com/package/chokidar,https://github.com/paulmillr/chokidar,https://github.com/paulmillr/chokidar
minimist,1.2.8,parse argument options,James Halliday,MIT,General,2025-10-14,41,350998880,643,"3,29","1,33",https://www.npmjs.com/package/minimist,https://github.com/minimistjs/minimist,https://github.com/minimistjs/minimist
node-fetch,3.3.2,A light-weight module that brings Fetch API to node.js,David Frank,MIT,General,2023-11-30,725,336172190,8900,107,0,https://www.npmjs.com/package/node-fetch,https://github.com/node-fetch/node-fetch,https://github.com/node-fetch/node-fetch
fast-glob,3.3.3,It's a very fast and efficient glob library for Node.js,Denis Malinochkin,MIT,General,2025-01-05,323,328771925,2800,"75,21","22,52",https://www.npmjs.com/package/fast-glob,https://github.com/mrmlnc/fast-glob,https://github.com/mrmlnc/fast-glob#readme
lodash,4.17.21,Lodash modular utilities.,John-David Dalton,MIT,Utility,2025-11-24,0,322508584,61400,"69,79","24,42",https://www.npmjs.com/package/lodash,https://github.com/lodash/lodash,https://lodash.com/
@babel/core,7.28.5,Babel compiler core.,The Babel Team (https://babel.dev/team),MIT,Build Tool,2025-10-23,32,321303078,43800,"1256,92","297,52",https://www.npmjs.com/package/@babel/core,https://github.com/babel/babel,https://babel.dev/docs/en/next/babel-core
dotenv,17.2.3,Loads environment variables from .env file,Unknown,BSD-2-Clause,General,2025-09-29,56,302703633,20100,"7,9","3,33",https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,https://github.com/motdotla/dotenv#readme
esbuild,0.27.0,An extremely fast JavaScript and CSS bundler and minifier.,Unknown,MIT,"Build Tool, UI Component",2025-11-09,15,301760612,39500,"41,12","14,18",https://www.npmjs.com/package/esbuild,https://github.com/evanw/esbuild,https://github.com/evanw/esbuild#readme
axios,1.13.2,Promise based HTTP client for the browser and node.js,Matt Zabriskie,MIT,"API Framework, CLI Tool",2025-11-04,20,301432402,108000,"36,81","14,15",https://www.npmjs.com/package/axios,https://github.com/axios/axios,https://axios-http.com
globby,16.0.0,User-friendly glob matching,Sindre Sorhus,MIT,Utility,2025-11-15,9,294693774,2600,"63,6",0,https://www.npmjs.com/package/globby,https://github.com/sindresorhus/globby,https://github.com/sindresorhus/globby#readme
nanoid,5.1.6,"A tiny (118 bytes), secure URL-friendly unique string ID generator",Andrey Sitnik,MIT,UI Component,2025-09-22,63,291089278,26300,"0,78","0,45",https://www.npmjs.com/package/nanoid,https://github.com/ai/nanoid,https://github.com/ai/nanoid#readme
eslint,9.39.1,An AST-based pattern checker for JavaScript.,Nicholas C. Zakas,MIT,General,2025-11-14,10,275147399,26700,2990,0,https://www.npmjs.com/package/eslint,https://github.com/eslint/eslint,https://eslint.org
flat-cache,6.1.19,A simple key/value storage using files to persist the data,Jared Wray,MIT,General,2025-11-16,8,269978009,1900,"23,41","6,46",https://www.npmjs.com/package/flat-cache,https://github.com/jaredwray/cacheable,https://github.com/jaredwray/cacheable#readme
@sinclair/typebox,0.34.41,Json Schema Type Builder with Static Type Resolution for TypeScript,sinclairzx81,MIT,"Build Tool, UI Component, Validation",2025-08-29,87,263626124,6200,"57,12","12,27",https://www.npmjs.com/package/@sinclair/typebox,https://github.com/sinclairzx81/typebox,https://github.com/sinclairzx81/typebox#readme
keyv,5.5.4,Simple key-value storage with support for multiple backends,Jared Wray,MIT,"Database/ORM, State Management",2025-11-11,13,255194375,3000,"12,76","3,63",https://www.npmjs.com/package/keyv,https://github.com/jaredwray/keyv,https://github.com/jaredwray/keyv
parse5,8.0.0,HTML parser and serializer.,Ivan Nikulin,MIT,Testing,2025-07-09,138,247352318,3800,"159,1","45,4",https://www.npmjs.com/package/parse5,https://github.com/inikulin/parse5,https://parse5.js.org
prettier,3.6.2,Prettier is an opinionated code formatter,James Long,MIT,"Database/ORM, UI Component",2025-11-18,6,241792144,51200,"75,98","24,87",https://www.npmjs.com/package/prettier,https://github.com/prettier/prettier,https://prettier.io
@typescript-eslint/parser,8.48.0,An ESLint custom parser which leverages TypeScript ESTree,Unknown,MIT,General,2025-11-24,0,239880622,16000,"12,9",0,https://www.npmjs.com/package/@typescript-eslint/parser,https://github.com/typescript-eslint/typescript-eslint,https://typescript-eslint.io/packages/parser
zod,4.1.13,TypeScript-first schema declaration and validation library with static type inference,Colin McDonnell,MIT,Validation,2025-11-24,0,230679316,40800,"273,72","54,29",https://www.npmjs.com/package/zod,https://github.com/colinhacks/zod,https://zod.dev
@typescript-eslint/eslint-plugin,8.48.0,TypeScript plugin for ESLint,Unknown,MIT,General,2025-11-24,0,226830856,16000,1960,0,https://www.npmjs.com/package/@typescript-eslint/eslint-plugin,https://github.com/typescript-eslint/typescript-eslint,https://typescript-eslint.io/packages/eslint-plugin
arg,5.0.2,"Unopinionated, no-frills CLI argument parser",Josh Junon,MIT,CLI Tool,2025-09-08,77,216461252,1300,"2,38","1,24",https://www.npmjs.com/package/arg,https://github.com/vercel/arg,https://github.com/vercel/arg#readme
rollup,4.53.3,Next-generation ES module bundler,Rich Harris,MIT,"Full-stack Framework, Build Tool",2025-11-19,5,213721284,26100,"420,02","114,34",https://www.npmjs.com/package/rollup,https://github.com/rollup/rollup,https://rollupjs.org/
express,5.1.0,"Fast, unopinionated, minimalist web framework",TJ Holowaychuk,MIT,Web Framework,2025-11-22,2,212787387,68252,"568,44","225,37",https://www.npmjs.com/package/express,https://github.com/expressjs/express,https://expressjs.com/
react,19.2.0,React is a JavaScript library for building user interfaces.,Unknown,MIT,"Frontend Framework, Build Tool, UI Component",2025-11-24,0,211096249,240833,"7,42","2,83",https://www.npmjs.com/package/react,https://github.com/facebook/react,https://react.dev/
react-dom,19.2.0,React package for working with the DOM.,Unknown,MIT,Frontend Framework,2025-11-24,0,198569978,241000,"3,6","1,33",https://www.npmjs.com/package/react-dom,https://github.com/facebook/react,https://react.dev/
htmlparser2,10.0.0,Fast & forgiving HTML/XML parser,Felix Boehm,MIT,General,2024-12-24,335,185290269,4700,"127,87","57,96",https://www.npmjs.com/package/htmlparser2,https://github.com/fb55/htmlparser2,https://github.com/fb55/htmlparser2#readme
ora,9.0.0,Elegant terminal spinner,Sindre Sorhus,MIT,CLI Tool,2025-10-14,41,176157257,9500,"30,4",0,https://www.npmjs.com/package/ora,https://github.com/sindresorhus/ora,https://github.com/sindresorhus/ora#readme
vite,7.2.4,Native-ESM powered web dev build tool,Evan You,MIT,"Build Tool, Utility, UI Component",2025-11-20,4,162868730,76715,2230,2230,https://www.npmjs.com/package/vite,https://github.com/vitejs/vite,https://vite.dev
inquirer,13.0.1,A collection of common interactive command line user interfaces.,Simon Boudrias,MIT,"CLI Tool, UI Component",2025-11-17,7,153812739,21300,"48,4",0,https://www.npmjs.com/package/inquirer,https://github.com/SBoudrias/Inquirer.js,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/inquirer/README.md
jsdom,27.2.0,A JavaScript implementation of many web standards,Unknown,MIT,General,2025-11-12,12,151446318,21400,"3240,19","754,09",https://www.npmjs.com/package/jsdom,https://github.com/jsdom/jsdom,https://github.com/jsdom/jsdom#readme
date-fns,4.1.0,Modern JavaScript date utility library,Unknown,MIT,Utility,2025-08-03,113,147602001,36300,"77,21","17,48",https://www.npmjs.com/package/date-fns,https://github.com/date-fns/date-fns,https://github.com/date-fns/date-fns#readme
pnpm,10.23.0,"Fast, disk space efficient package manager",Unknown,MIT,General,2025-11-20,4,145678642,33300,17500,0,https://www.npmjs.com/package/pnpm,https://github.com/pnpm/pnpm,https://pnpm.io
webpack,5.103.0,"Packs ECMAScript/CommonJs/AMD modules for the browser. Allows you to split your codebase into multiple bundles, which can be loaded on demand. Supports loaders to preprocess files, i.e. json, jsx, es7, css, less, ... and your custom stuff.",Tobias Koppers @sokra,MIT,Build Tool,2025-11-18,6,140320615,65800,"3528,3","853,91",https://www.npmjs.com/package/webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack
jest,30.2.0,Delightful JavaScript Testing.,Unknown,MIT,Testing,2025-09-28,57,138404050,45200,"6,32",0,https://www.npmjs.com/package/jest,https://github.com/jestjs/jest,https://jestjs.io/
@jest/globals,30.2.0,N/A,Unknown,MIT,Testing,2025-09-28,57,136975020,45200,"0,24","0,2",https://www.npmjs.com/package/@jest/globals,https://github.com/jestjs/jest,N/A
prompts,2.4.2,"Lightweight, beautiful and user-friendly prompts",Terkel Gjervig,MIT,"CLI Tool, UI Component",2023-10-21,765,133816745,9200,"80,85","14,4",https://www.npmjs.com/package/prompts,https://github.com/terkelg/prompts,https://github.com/terkelg/prompts#readme
eslint-config-prettier,10.1.8,Turns off all rules that are unnecessary or might conflict with Prettier.,Simon Lydell,MIT,General,2025-07-20,127,131591933,5800,"12,31","2,05",https://www.npmjs.com/package/eslint-config-prettier,https://github.com/prettier/eslint-config-prettier,https://github.com/prettier/eslint-config-prettier#readme
dayjs,1.11.19,2KB immutable date time library alternative to Moment.js with the same modern API,iamkun,MIT,General,2025-10-31,24,126012403,48400,"6,94","2,96",https://www.npmjs.com/package/dayjs,https://github.com/iamkun/dayjs,https://day.js.org
file-type,21.1.1,"Detect the file type of a file, stream, or data",Sindre Sorhus,MIT,"Database/ORM, UI Component",2025-11-19,5,121328757,4200,"30,34","8,15",https://www.npmjs.com/package/file-type,https://github.com/sindresorhus/file-type,https://github.com/sindresorhus/file-type#readme
undici,7.16.0,"An HTTP/1.1 client, written from scratch for Node.js",Unknown,MIT,CLI Tool,2025-10-03,52,118618139,7300,1470,0,https://www.npmjs.com/package/undici,https://github.com/nodejs/undici,https://undici.nodejs.org
chai,6.2.1,BDD/TDD assertion library for node.js and the browser. Test framework agnostic.,Jake Luer,MIT,Testing,2025-11-11,13,118189410,8300,"65,04","16,64",https://www.npmjs.com/package/chai,https://github.com/chaijs/chai,http://chaijs.com
tailwindcss,4.1.17,A utility-first CSS framework for rapidly building custom user interfaces.,Unknown,MIT,"Build Tool, Utility, UI Component",2025-11-21,3,117522209,91200,"3,63","1,46",https://www.npmjs.com/package/tailwindcss,https://github.com/tailwindlabs/tailwindcss,https://tailwindcss.com
quick-lru,7.3.0,Simple “Least Recently Used” (LRU) cache,Sindre Sorhus,MIT,UI Component,2025-10-10,45,114387542,738,"3,51","1,25",https://www.npmjs.com/package/quick-lru,https://github.com/sindresorhus/quick-lru,https://github.com/sindresorhus/quick-lru#readme
meow,14.0.0,CLI app helper,Sindre Sorhus,MIT,"CLI Tool, Utility, UI Component",2025-09-15,70,112697562,3700,472,0,https://www.npmjs.com/package/meow,https://github.com/sindresorhus/meow,https://github.com/sindresorhus/meow#readme
moment,2.30.1,"Parse, validate, manipulate, and display dates",Iskren Ivov Chernev,MIT,"Database/ORM, UI Component",2025-10-14,41,107875692,48100,"294,89","73,13",https://www.npmjs.com/package/moment,https://github.com/moment/moment,https://momentjs.com
xml2js,0.6.2,Simple XML to JavaScript object converter.,Marek Kubica,MIT,General,2024-05-31,542,107578914,5000,"95,68","21,29",https://www.npmjs.com/package/xml2js,https://github.com/Leonidas-from-XIV/node-xml2js,https://github.com/Leonidas-from-XIV/node-xml2js
playwright,1.56.1,A high-level API to automate web browsers,Microsoft Corporation,Apache-2.0,General,2025-11-24,0,106182015,79600,3890,0,https://www.npmjs.com/package/playwright,https://github.com/microsoft/playwright,https://playwright.dev
got,14.6.5,Human-friendly and powerful HTTP request library for Node.js,Unknown,MIT,General,2025-11-22,2,105434955,14800,304,0,https://www.npmjs.com/package/got,https://github.com/sindresorhus/got,https://github.com/sindresorhus/got#readme
jsonwebtoken,9.0.2,JSON Web Token implementation (symmetric and asymmetric),auth0,MIT,Security,2025-11-13,11,103981093,18100,"51,76","15,14",https://www.npmjs.com/package/jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,https://github.com/auth0/node-jsonwebtoken#readme
cors,2.8.5,Node.js CORS middleware,Troy Goode,MIT,Web Framework,2025-04-09,229,100442093,6200,"4,32","1,78",https://www.npmjs.com/package/cors,https://github.com/expressjs/cors,https://github.com/expressjs/cors#readme
handlebars,4.7.8,Handlebars provides the power necessary to let you build semantic templates effectively with no frustration,Yehuda Katz,MIT,"Build Tool, UI Component",2023-09-21,795,100138064,18500,"73,14","21,57",https://www.npmjs.com/package/handlebars,https://github.com/handlebars-lang/handlebars.js,https://www.handlebarsjs.com/
cross-fetch,4.1.0,"Universal WHATWG Fetch API for Node, Browsers and React Native",Leonardo Quixada,MIT,Frontend Framework,2024-12-21,338,92681014,1700,"10,48","3,58",https://www.npmjs.com/package/cross-fetch,https://github.com/lquixada/cross-fetch,https://github.com/lquixada/cross-fetch
svgo,4.0.0,SVGO is a Node.js library and command-line application for optimizing vector images.,Kir Belevich,MIT,General,2025-06-21,156,91678889,22100,1450,0,https://www.npmjs.com/package/svgo,https://github.com/svg/svgo,https://svgo.dev
ejs,3.1.10,Embedded JavaScript templates,Matthew Eernisse,Apache-2.0,General,2024-05-31,542,91487733,8000,"11,77","4,55",https://www.npmjs.com/package/ejs,https://github.com/mde/ejs,https://github.com/mde/ejs
enquirer,2.4.1,"Stylish, intuitive and user-friendly prompt system. Fast and lightweight enough for small projects, powerful and extensible enough for the most advanced use cases.",Jon Schlinkert,MIT,"CLI Tool, UI Component",2023-07-28,850,88712041,7900,"74,01","22,13",https://www.npmjs.com/package/enquirer,https://github.com/enquirer/enquirer,https://github.com/enquirer/enquirer
graphql,16.12.0,A Query Language and Runtime which can target any service.,Unknown,MIT,API Framework,2025-11-13,11,85365182,20278,"175,8","42,15",https://www.npmjs.com/package/graphql,https://github.com/graphql/graphql-js,https://github.com/graphql/graphql-js
react-router,7.9.6,Declarative routing for React,Remix Software,MIT,Frontend Framework,2025-11-22,2,84353941,56000,"185,34","56,94",https://www.npmjs.com/package/react-router,https://github.com/remix-run/react-router,https://github.com/remix-run/react-router#readme
